,Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date,Runtime,Color Palette,GenreNames,LanguageName,Month
106,2025-02-17,Or / Or (Hawick),2018.0,https://boxd.it/8RLS5T,4.0,"scropps, alone</3, K",2025-02-17,10,"[224, 157, 12, 203, 135, 8, 180, 113, 5]",[],French,2025-02
107,2025-02-22,"Red, White & Royal Blue",2023.0,https://boxd.it/8ULhGb,2.5,"scropps, tay, hate watch",2025-02-21,121,"[203, 171, 141, 91, 59, 44, 29, 19, 18]","['Comedy', 'Romance']",English,2025-02
108,2025-03-02,Possibly in Michigan,1983.0,https://boxd.it/8ZUmxh,5.0,"scropps, tay",2025-03-01,12,"[138, 124, 114, 34, 33, 31, 32, 31, 29]","['Horror', 'Music']",English,2025-03
109,2025-03-18,Anyone But You,2023.0,https://boxd.it/9a6dnB,2.0,"SD, tay, hate watch",2025-03-17,103,"[219, 212, 198, 131, 176, 201, 80, 90, 97]","['Romance', 'Comedy']",English,2025-03
110,2025-05-09,Heretic,2024.0,https://boxd.it/9E2fGR,3.0,"alone</3, scropps",2025-05-08,111,"[107, 76, 56, 27, 18, 11, 10, 7, 3]","['Horror', 'Thriller']",English,2025-05
111,2025-05-11,Sinners,2025.0,https://boxd.it/9FbZ9r,5.0,"scropps, in theaters, paris, aimee, claire",2025-05-10,138,"[150, 87, 32, 65, 27, 12, 34, 15, 6]","['Horror', 'Action', 'Thriller']",English,2025-05
112,2025-05-15,Ma,2019.0,https://boxd.it/9HuCJR,,"scropps, tay",2025-05-15,99,"[135, 119, 92, 68, 64, 53, 33, 28, 32]","['Horror', 'Thriller']",English,2025-05
113,2025-05-15,Clickbait: Unfollowed,2024.0,https://boxd.it/9HuNNv,2.0,"scropps, tay",2025-05-15,90,"[189, 179, 131, 103, 71, 61, 28, 14, 40]","['Horror', 'Thriller', 'Comedy', 'TV Movie']",English,2025-05
114,2025-05-25,Black Mirror: Common People,2025.0,https://boxd.it/9NpxGn,4.0,tay,2025-05-25,,,[],,2025-05
115,2025-05-25,Black Mirror: Plaything,2025.0,https://boxd.it/9NpBDn,3.0,"tay, nyc",2025-05-25,,,[],,2025-05
116,2025-05-25,Black Mirror: Arkangel,2017.0,https://boxd.it/9NpC65,3.0,,2025-05-25,,,[],,2025-05
117,2025-05-25,Black Mirror: Bête Noire,2025.0,https://boxd.it/9NpCMZ,2.5,,2025-05-25,,,[],,2025-05
118,2025-05-25,Black Mirror: Hated in the Nation,2016.0,https://boxd.it/9NpDCh,3.0,,2025-05-25,,,[],,2025-05
119,2025-05-25,"Black Mirror: Rachel, Jack and Ashley Too",2019.0,https://boxd.it/9NpFxX,2.0,tay,2025-05-25,,,[],,2025-05
120,2025-05-26,I Still Believe,2020.0,https://boxd.it/9O61NR,1.0,"tay, nyc, hate watch",2025-05-25,115,"[252, 251, 249, 238, 232, 229, 135, 97, 83]","['Music', 'Drama', 'Romance']",English,2025-05
121,2025-05-26,Despicable Me 4,2024.0,https://boxd.it/9O67XD,2.5,"tay, nyc",2025-05-25,94,"[184, 119, 116, 118, 47, 107, 32, 3, 137]","['Family', 'Comedy', 'Animation', 'Science Fiction']",English,2025-05
122,2025-05-27,The Florida Project,2017.0,https://boxd.it/9OOJ4f,4.5,"tay, airplane",2025-05-26,112,"[152, 169, 173, 85, 141, 163, 54, 79, 90]",['Drama'],English,2025-05
123,2025-05-29,Get Out,2017.0,https://boxd.it/9PRaER,5.0,"tay, dublin",2025-05-28,104,"[255, 255, 255, 174, 174, 174, 29, 29, 29]","['Mystery', 'Thriller', 'Horror']",English,2025-05
124,2025-05-30,Final Destination,2000.0,https://boxd.it/9QvM7h,3.0,"tay, dublin",2025-05-30,98,"[167, 155, 147, 18, 27, 26, 2, 7, 8]",['Horror'],English,2025-05
125,2025-05-31,Final Destination 2,2003.0,https://boxd.it/9R1lVX,2.0,"tay, dublin",2025-05-30,90,"[110, 133, 177, 30, 49, 103, 3, 5, 17]","['Horror', 'Mystery']",English,2025-05
126,2025-06-01,Pearl,2022.0,https://boxd.it/9RBtyT,4.0,"tay, dublin",2025-05-31,102,"[167, 144, 127, 171, 41, 33, 72, 12, 12]","['Horror', 'Thriller']",English,2025-05
